자치구_코드_명,서비스_업종_코드_명,점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,년,분기,년_분기
은평구,문구,113,3.3,4,7,2024,2,2024-02
은평구,의약품,304,2.1,7,25,2024,2,2024-02
은평구,편의점,29,3.4,14,379,2024,2,2024-02
은평구,슈퍼마켓,457,3.8,18,19,2024,2,2024-02
은평구,여관,89,3.4,3,0,2024,2,2024-02
은평구,커피-음료,502,6.1,41,168,2024,2,2024-02
은평구,치킨전문점,100,5.1,12,136,2024,2,2024-02
은평구,패스트푸드점,123,1.4,3,84,2024,2,2024-02
은평구,양식음식점,155,4.3,7,7,2024,2,2024-02
은평구,일식음식점,177,7.3,14,15,2024,2,2024-02
은평구,중식음식점,150,5.1,8,7,2024,2,2024-02
은평구,한식음식점,1906,4.4,90,151,2024,2,2024-02
노원구,전자상거래업,2018,3.5,71,6,2024,2,2024-02
노원구,화장품,464,3.1,16,50,2024,2,2024-02
노원구,문구,130,0.0,0,13,2024,2,2024-02
노원구,의약품,331,2.6,9,15,2024,2,2024-02
노원구,편의점,30,2.9,11,347,2024,2,2024-02
노원구,슈퍼마켓,474,3.0,15,30,2024,2,2024-02
노원구,여관,46,4.3,2,0,2024,2,2024-02
노원구,커피-음료,466,3.7,25,211,2024,2,2024-02
노원구,치킨전문점,108,4.4,12,162,2024,2,2024-02
노원구,패스트푸드점,128,4.9,11,98,2024,2,2024-02
노원구,양식음식점,157,3.3,6,24,2024,2,2024-02
노원구,일식음식점,181,4.6,9,15,2024,2,2024-02
노원구,중식음식점,147,3.8,6,12,2024,2,2024-02
노원구,한식음식점,1703,4.5,85,202,2024,2,2024-02
도봉구,전자상거래업,1239,3.5,44,2,2024,2,2024-02
도봉구,화장품,248,2.3,6,13,2024,2,2024-02
도봉구,문구,62,9.7,7,10,2024,2,2024-02
도봉구,의약품,165,2.2,4,16,2024,2,2024-02
도봉구,편의점,25,2.6,7,245,2024,2,2024-02
도봉구,슈퍼마켓,333,2.5,9,20,2024,2,2024-02
도봉구,여관,23,0.0,0,0,2024,2,2024-02
도봉구,커피-음료,285,3.2,13,116,2024,2,2024-02
도봉구,치킨전문점,78,5.5,10,104,2024,2,2024-02
도봉구,패스트푸드점,60,6.5,7,47,2024,2,2024-02
도봉구,양식음식점,83,5.7,5,5,2024,2,2024-02
도봉구,일식음식점,109,5.3,6,4,2024,2,2024-02
도봉구,중식음식점,90,4.3,4,2,2024,2,2024-02
도봉구,한식음식점,1270,4.1,56,100,2024,2,2024-02
강북구,전자상거래업,1416,2.3,32,2,2024,2,2024-02
강북구,화장품,288,1.6,5,16,2024,2,2024-02
강북구,문구,68,5.4,4,6,2024,2,2024-02
강북구,의약품,223,2.1,5,15,2024,2,2024-02
강북구,편의점,25,5.0,15,274,2024,2,2024-02
강북구,슈퍼마켓,375,4.5,17,7,2024,2,2024-02
강북구,여관,153,1.9,3,1,2024,2,2024-02
강북구,커피-음료,379,4.6,23,117,2024,2,2024-02
강북구,치킨전문점,90,4.1,8,105,2024,2,2024-02
강북구,패스트푸드점,78,3.6,5,59,2024,2,2024-02
강북구,양식음식점,112,2.6,3,5,2024,2,2024-02
강북구,일식음식점,131,5.0,7,10,2024,2,2024-02
강북구,중식음식점,109,7.1,8,3,2024,2,2024-02
강북구,한식음식점,1762,5.2,99,128,2024,2,2024-02
성북구,전자상거래업,1970,2.3,46,2,2024,2,2024-02
성북구,화장품,391,1.4,6,36,2024,2,2024-02
성북구,문구,133,4.2,6,11,2024,2,2024-02
성북구,의약품,273,2.7,8,25,2024,2,2024-02
성북구,편의점,32,3.4,13,349,2024,2,2024-02
성북구,슈퍼마켓,482,2.6,13,23,2024,2,2024-02
성북구,여관,80,0.0,0,3,2024,2,2024-02
성북구,커피-음료,606,4.9,39,189,2024,2,2024-02
성북구,치킨전문점,87,4.1,9,134,2024,2,2024-02
성북구,패스트푸드점,120,5.2,11,91,2024,2,2024-02
성북구,양식음식점,224,4.6,11,13,2024,2,2024-02
성북구,일식음식점,174,5.8,11,16,2024,2,2024-02
성북구,중식음식점,172,7.1,13,12,2024,2,2024-02
