자치구_코드_명,년_분기,폐업_률
서초구,2024-01,42.5
서초구,2024-02,49.4
성동구,2019-01,65.6
성동구,2019-02,53.3
성동구,2019-03,47.6
성동구,2019-04,49.5
성동구,2020-01,54.3
성동구,2020-02,42.8
성동구,2020-03,43.0
성동구,2020-04,33.4
성동구,2021-01,32.2
성동구,2021-02,47.9
성동구,2021-03,44.7
성동구,2021-04,38.6
성동구,2022-01,40.0
성동구,2022-02,26.8
성동구,2022-03,47.9
성동구,2022-04,42.8
성동구,2023-01,49.0
성동구,2023-02,42.3
성동구,2023-03,51.9
성동구,2023-04,32.8
성동구,2024-01,52.1
성동구,2024-02,47.2
성북구,2019-01,52.1
성북구,2019-02,49.2
성북구,2019-03,56.9
성북구,2019-04,54.5
성북구,2020-01,55.699999999999996
성북구,2020-02,40.3
성북구,2020-03,47.4
성북구,2020-04,40.800000000000004
성북구,2021-01,36.6
성북구,2021-02,46.8
성북구,2021-03,48.7
성북구,2021-04,41.5
성북구,2022-01,39.8
성북구,2022-02,31.2
성북구,2022-03,52.3
성북구,2022-04,48.0
성북구,2023-01,41.4
성북구,2023-02,48.8
성북구,2023-03,48.1
성북구,2023-04,44.2
성북구,2024-01,55.6
성북구,2024-02,51.699999999999996
송파구,2019-01,44.6
송파구,2019-02,52.3
송파구,2019-03,48.5
송파구,2019-04,47.3
송파구,2020-01,49.9
송파구,2020-02,41.9
송파구,2020-03,47.0
송파구,2020-04,41.7
송파구,2021-01,31.1
송파구,2021-02,46.9
송파구,2021-03,37.1
송파구,2021-04,41.4
송파구,2022-01,35.3
송파구,2022-02,36.7
송파구,2022-03,55.1
송파구,2022-04,46.5
송파구,2023-01,51.4
송파구,2023-02,50.7
송파구,2023-03,57.6
송파구,2023-04,51.9
송파구,2024-01,55.4
송파구,2024-02,46.4
양천구,2019-01,44.0
양천구,2019-02,73.4
양천구,2019-03,58.9
양천구,2019-04,67.1
양천구,2020-01,52.9
양천구,2020-02,42.2
양천구,2020-03,57.4
